piRs	consolidated_id
piR-hsa-105868,piR-hsa-787121	piR-hsa-concat-000169
piR-hsa-143973,piR-hsa-239030	piR-hsa-concat-000170
piR-hsa-149323,piR-hsa-720098	piR-hsa-concat-000173
piR-hsa-167804,piR-hsa-349746	piR-hsa-concat-000175
piR-hsa-144174,piR-hsa-188253	piR-hsa-concat-000176
piR-hsa-150378,piR-hsa-785683	piR-hsa-concat-000189
piR-hsa-154469,piR-hsa-341855	piR-hsa-concat-000192
piR-hsa-1261012,piR-hsa-759271	piR-hsa-concat-000193
piR-hsa-54494,piR-hsa-720636	piR-hsa-concat-000195
piR-hsa-131478,piR-hsa-132193,piR-hsa-134293,piR-hsa-134440,piR-hsa-137977,piR-hsa-138171,piR-hsa-139072,piR-hsa-139466,piR-hsa-142905,piR-hsa-145188,piR-hsa-157188,piR-hsa-163511,piR-hsa-165421,piR-hsa-165948,piR-hsa-169894	piR-hsa-concat-000203
piR-hsa-158564,piR-hsa-163584	piR-hsa-concat-000204
piR-hsa-137829,piR-hsa-144904,piR-hsa-156320,piR-hsa-160154,piR-hsa-180885	piR-hsa-concat-000205
piR-hsa-162109,piR-hsa-168460,piR-hsa-170707	piR-hsa-concat-000206
piR-hsa-5101061,piR-hsa-7615133	piR-hsa-concat-000207
piR-hsa-135126,piR-hsa-569349	piR-hsa-concat-002230
piR-hsa-472611,piR-hsa-778384	piR-hsa-concat-002231
piR-hsa-171589,piR-hsa-338204,piR-hsa-732049	piR-hsa-concat-000217
piR-hsa-103258,piR-hsa-751630	piR-hsa-concat-000220
piR-hsa-53814,piR-hsa-762014	piR-hsa-concat-000221
piR-hsa-763871,piR-hsa-98115	piR-hsa-concat-000222
piR-hsa-106617,piR-hsa-168038,piR-hsa-336706,piR-hsa-746157	piR-hsa-concat-000223
piR-hsa-53783,piR-hsa-755658,piR-hsa-761627	piR-hsa-concat-000224
piR-hsa-100114,piR-hsa-761455	piR-hsa-concat-000225
piR-hsa-122356,piR-hsa-743834,piR-hsa-787438	piR-hsa-concat-000226
piR-hsa-129501,piR-hsa-786599	piR-hsa-concat-000227
piR-hsa-35904,piR-hsa-747684,piR-hsa-761012	piR-hsa-concat-000228
piR-hsa-747653,piR-hsa-749953,piR-hsa-773000,piR-hsa-780256,piR-hsa-88455	piR-hsa-concat-000229
piR-hsa-136311,piR-hsa-336228	piR-hsa-concat-000230
piR-hsa-141521,piR-hsa-190742	piR-hsa-concat-000231
piR-hsa-144259,piR-hsa-345382,piR-hsa-345620,piR-hsa-50682,piR-hsa-739373	piR-hsa-concat-000232
piR-hsa-148235,piR-hsa-153640,piR-hsa-348505,piR-hsa-81110	piR-hsa-concat-000233
piR-hsa-120511,piR-hsa-748623	piR-hsa-concat-000234
piR-hsa-1281539,piR-hsa-765813	piR-hsa-concat-000235
piR-hsa-741894,piR-hsa-775166	piR-hsa-concat-000236
piR-hsa-157336,piR-hsa-535411	piR-hsa-concat-003382
piR-hsa-160311,piR-hsa-161849	piR-hsa-concat-003383
piR-hsa-373179,piR-hsa-42711	piR-hsa-concat-003384
piR-hsa-164980,piR-hsa-165933,piR-hsa-38246	piR-hsa-concat-003385
piR-hsa-260926,piR-hsa-353382,piR-hsa-375471	piR-hsa-concat-003386
piR-hsa-156608,piR-hsa-165419	piR-hsa-concat-003387
piR-hsa-3029499,piR-hsa-7519545	piR-hsa-concat-002189
piR-hsa-3687338,piR-hsa-5312730	piR-hsa-concat-000251
piR-hsa-2704199,piR-hsa-3708941	piR-hsa-concat-000252
piR-hsa-504256,piR-hsa-7886419	piR-hsa-concat-000253
piR-hsa-365761,piR-hsa-768712	piR-hsa-concat-000254
piR-hsa-742670,piR-hsa-766652	piR-hsa-concat-000255
piR-hsa-356986,piR-hsa-368248	piR-hsa-concat-000256
piR-hsa-745322,piR-hsa-755236	piR-hsa-concat-000257
piR-hsa-728330,piR-hsa-761180	piR-hsa-concat-000258
piR-hsa-775952,piR-hsa-788431	piR-hsa-concat-000259
piR-hsa-165729,piR-hsa-764540	piR-hsa-concat-000260
piR-hsa-163794,piR-hsa-58384	piR-hsa-concat-003755
piR-hsa-2838205,piR-hsa-2840432	piR-hsa-concat-003766
piR-hsa-728921,piR-hsa-744113,piR-hsa-771002	piR-hsa-concat-003767
piR-hsa-730193,piR-hsa-750171,piR-hsa-783971	piR-hsa-concat-003768
piR-hsa-341028,piR-hsa-759391	piR-hsa-concat-003769
piR-hsa-735582,piR-hsa-767879	piR-hsa-concat-003770
piR-hsa-746667,piR-hsa-774060	piR-hsa-concat-003771
piR-hsa-750378,piR-hsa-760684	piR-hsa-concat-003773
piR-hsa-132901,piR-hsa-769286	piR-hsa-concat-000274
piR-hsa-139219,piR-hsa-347050,piR-hsa-392649,piR-hsa-801431	piR-hsa-concat-000276
piR-hsa-188550,piR-hsa-359840,piR-hsa-363843	piR-hsa-concat-000277
piR-hsa-367860,piR-hsa-735852	piR-hsa-concat-000278
piR-hsa-134997,piR-hsa-363964	piR-hsa-concat-000279
piR-hsa-163323,piR-hsa-361473	piR-hsa-concat-000280
piR-hsa-163420,piR-hsa-166423	piR-hsa-concat-000281
piR-hsa-165036,piR-hsa-167860	piR-hsa-concat-000282
piR-hsa-132871,piR-hsa-780100	piR-hsa-concat-003749
piR-hsa-140154,piR-hsa-156715,piR-hsa-167100,piR-hsa-347872,piR-hsa-368788,piR-hsa-373798,piR-hsa-751127,piR-hsa-763554,piR-hsa-787683	piR-hsa-concat-000993
piR-hsa-133167,piR-hsa-144284,piR-hsa-159646,piR-hsa-162181,piR-hsa-166310,piR-hsa-334697,piR-hsa-340930,piR-hsa-346500,piR-hsa-353247,piR-hsa-739156	piR-hsa-concat-000992
piR-hsa-131266,piR-hsa-139860,piR-hsa-146294,piR-hsa-148357,piR-hsa-153749,piR-hsa-153972,piR-hsa-156698,piR-hsa-165564,piR-hsa-171627,piR-hsa-343907,piR-hsa-346327,piR-hsa-364729,piR-hsa-367604,piR-hsa-740082,piR-hsa-754741	piR-hsa-concat-000991
piR-hsa-132825,piR-hsa-134841,piR-hsa-139683,piR-hsa-144699,piR-hsa-154894,piR-hsa-161933,piR-hsa-340392,piR-hsa-344546	piR-hsa-concat-000990
piR-hsa-145446,piR-hsa-147593,piR-hsa-156386	piR-hsa-concat-000989
piR-hsa-1262190,piR-hsa-135405,piR-hsa-139753,piR-hsa-148382,piR-hsa-150548,piR-hsa-155586,piR-hsa-163661,piR-hsa-165424,piR-hsa-166437,piR-hsa-170347,piR-hsa-170985,piR-hsa-344383,piR-hsa-353640,piR-hsa-363833,piR-hsa-370605,piR-hsa-374198,piR-hsa-376037,piR-hsa-397396,piR-hsa-748616,piR-hsa-761177,piR-hsa-763088,piR-hsa-783438,piR-hsa-788360	piR-hsa-concat-000988
piR-hsa-748157,piR-hsa-778384,piR-hsa-79430	piR-hsa-concat-000828
piR-hsa-146412,piR-hsa-151156,piR-hsa-164887,piR-hsa-734202	piR-hsa-concat-000987
piR-hsa-135126,piR-hsa-215041,piR-hsa-742740	piR-hsa-concat-000827
piR-hsa-3048019,piR-hsa-7560676	piR-hsa-concat-000294
piR-hsa-430147,piR-hsa-7572670,piR-hsa-7772151,piR-hsa-7967914	piR-hsa-concat-000786
piR-hsa-3111525,piR-hsa-3703846	piR-hsa-concat-000785
piR-hsa-3116713,piR-hsa-4412615	piR-hsa-concat-002219
piR-hsa-3166724,piR-hsa-3718691	piR-hsa-concat-000706
piR-hsa-3346281,piR-hsa-3709122	piR-hsa-concat-002132
piR-hsa-729761,piR-hsa-775047	piR-hsa-concat-000301
piR-hsa-100322,piR-hsa-148235	piR-hsa-concat-001842
piR-hsa-2849727,piR-hsa-39439	piR-hsa-concat-000303
piR-hsa-151850,piR-hsa-178603,piR-hsa-354397	piR-hsa-concat-000304
piR-hsa-234416,piR-hsa-361489	piR-hsa-concat-000307
piR-hsa-3349761,piR-hsa-3740498	piR-hsa-concat-000308
piR-hsa-756856,piR-hsa-765961	piR-hsa-concat-003774
piR-hsa-347917,piR-hsa-55440	piR-hsa-concat-000310
piR-hsa-45072,piR-hsa-749457	piR-hsa-concat-000311
piR-hsa-569061,piR-hsa-738249	piR-hsa-concat-000312
piR-hsa-5697654,piR-hsa-7663894	piR-hsa-concat-000313
piR-hsa-142694,piR-hsa-743761	piR-hsa-concat-003392
piR-hsa-135405,piR-hsa-27491	piR-hsa-concat-002101
piR-hsa-142755,piR-hsa-148707,piR-hsa-149918,piR-hsa-161612	piR-hsa-concat-000320
piR-hsa-171355,piR-hsa-370406	piR-hsa-concat-000321
piR-hsa-3307309,piR-hsa-7544852	piR-hsa-concat-000322
piR-hsa-61840,piR-hsa-756850	piR-hsa-concat-003741
piR-hsa-51189,piR-hsa-761824,piR-hsa-784268	piR-hsa-concat-003742
piR-hsa-721819,piR-hsa-96148	piR-hsa-concat-003743
piR-hsa-136475,piR-hsa-141151,piR-hsa-150571,piR-hsa-155513,piR-hsa-158286,piR-hsa-166777,piR-hsa-170696,piR-hsa-347058,piR-hsa-367860,piR-hsa-368653,piR-hsa-725530,piR-hsa-758330	piR-hsa-concat-003744
piR-hsa-134997,piR-hsa-351918,piR-hsa-359224,piR-hsa-363964,piR-hsa-370751,piR-hsa-778554	piR-hsa-concat-003745
piR-hsa-162544,piR-hsa-163323,piR-hsa-171416,piR-hsa-788146,piR-hsa-805828	piR-hsa-concat-003746
piR-hsa-130682,piR-hsa-142941,piR-hsa-143983,piR-hsa-145595,piR-hsa-161886,piR-hsa-162957,piR-hsa-163420,piR-hsa-738130	piR-hsa-concat-003747
piR-hsa-167860,piR-hsa-344333	piR-hsa-concat-003748
piR-hsa-349417,piR-hsa-735852	piR-hsa-concat-000336
piR-hsa-345345,piR-hsa-361473,piR-hsa-731025,piR-hsa-742260,piR-hsa-755466,piR-hsa-783597	piR-hsa-concat-000337
piR-hsa-147900,piR-hsa-159125,piR-hsa-164633,piR-hsa-166423,piR-hsa-764677	piR-hsa-concat-000338
piR-hsa-341531,piR-hsa-648615,piR-hsa-766267	piR-hsa-concat-002228
piR-hsa-142990,piR-hsa-153106,piR-hsa-747739	piR-hsa-concat-000340
piR-hsa-361148,piR-hsa-751672	piR-hsa-concat-000341
piR-hsa-3671014,piR-hsa-452740	piR-hsa-concat-000348
piR-hsa-758294,piR-hsa-774669	piR-hsa-concat-002217
piR-hsa-2852970,piR-hsa-95032	piR-hsa-concat-000350
piR-hsa-2845705,piR-hsa-78972	piR-hsa-concat-000351
piR-hsa-147833,piR-hsa-67641	piR-hsa-concat-000352
piR-hsa-37884,piR-hsa-786184	piR-hsa-concat-000353
piR-hsa-373916,piR-hsa-732913,piR-hsa-783821	piR-hsa-concat-000354
piR-hsa-340660,piR-hsa-363133,piR-hsa-364065	piR-hsa-concat-000355
piR-hsa-111814,piR-hsa-141016,piR-hsa-366325,piR-hsa-769529	piR-hsa-concat-000356
piR-hsa-101566,piR-hsa-168272	piR-hsa-concat-000357
piR-hsa-1289440,piR-hsa-138124,piR-hsa-147963,piR-hsa-148072,piR-hsa-152678,piR-hsa-155249,piR-hsa-155817,piR-hsa-162422,piR-hsa-164332,piR-hsa-167624,piR-hsa-167632,piR-hsa-732641,piR-hsa-744812,piR-hsa-750305,piR-hsa-751840	piR-hsa-concat-003288
piR-hsa-135909,piR-hsa-146349,piR-hsa-153631,piR-hsa-156128,piR-hsa-157270,piR-hsa-163795,piR-hsa-356412,piR-hsa-762949,piR-hsa-784021	piR-hsa-concat-003287
piR-hsa-131731,piR-hsa-150100,piR-hsa-157052,piR-hsa-159032,piR-hsa-351440,piR-hsa-751982	piR-hsa-concat-003286
piR-hsa-1269571,piR-hsa-141271,piR-hsa-161409,piR-hsa-724220	piR-hsa-concat-003285
piR-hsa-338948,piR-hsa-365295	piR-hsa-concat-003765
piR-hsa-129041,piR-hsa-729907	piR-hsa-concat-003033
piR-hsa-2850525,piR-hsa-82093	piR-hsa-concat-003034
piR-hsa-1274855,piR-hsa-33425	piR-hsa-concat-003035
piR-hsa-101236,piR-hsa-2855547	piR-hsa-concat-003036
piR-hsa-133181,piR-hsa-141307	piR-hsa-concat-003039
piR-hsa-1256257,piR-hsa-138198,piR-hsa-767581	piR-hsa-concat-003040
piR-hsa-609670,piR-hsa-775586	piR-hsa-concat-000376
piR-hsa-725486,piR-hsa-766653	piR-hsa-concat-003042
piR-hsa-168621,piR-hsa-728587,piR-hsa-743626	piR-hsa-concat-003043
piR-hsa-151004,piR-hsa-154400,piR-hsa-775507	piR-hsa-concat-003044
piR-hsa-131040,piR-hsa-131699,piR-hsa-151464,piR-hsa-154597,piR-hsa-170721,piR-hsa-336388,piR-hsa-729175,piR-hsa-758873,piR-hsa-784970	piR-hsa-concat-003045
piR-hsa-145772,piR-hsa-57340,piR-hsa-747433	piR-hsa-concat-000381
piR-hsa-154622,piR-hsa-732295	piR-hsa-concat-003048
piR-hsa-137861,piR-hsa-150482,piR-hsa-158368,piR-hsa-728586	piR-hsa-concat-003049
piR-hsa-132292,piR-hsa-155310,piR-hsa-155887,piR-hsa-165675,piR-hsa-167972,piR-hsa-720500	piR-hsa-concat-003050
piR-hsa-143510,piR-hsa-145964,piR-hsa-33222	piR-hsa-concat-000385
piR-hsa-134810,piR-hsa-144345	piR-hsa-concat-003052
piR-hsa-170169,piR-hsa-729402,piR-hsa-733653,piR-hsa-757867	piR-hsa-concat-003053
piR-hsa-139857,piR-hsa-142079,piR-hsa-146431,piR-hsa-746106,piR-hsa-757485,piR-hsa-783877,piR-hsa-784468	piR-hsa-concat-003054
piR-hsa-156957,piR-hsa-96437	piR-hsa-concat-000389
piR-hsa-151300,piR-hsa-740803,piR-hsa-751768	piR-hsa-concat-003056
piR-hsa-148054,piR-hsa-165839,piR-hsa-734723,piR-hsa-756839	piR-hsa-concat-003057
piR-hsa-153208,piR-hsa-752869	piR-hsa-concat-000392
piR-hsa-764291,piR-hsa-79521	piR-hsa-concat-003063
piR-hsa-43233,piR-hsa-786295	piR-hsa-concat-003064
piR-hsa-240348,piR-hsa-2851634	piR-hsa-concat-003065
piR-hsa-142958,piR-hsa-28188,piR-hsa-727904	piR-hsa-concat-000396
piR-hsa-163773,piR-hsa-28189	piR-hsa-concat-000397
piR-hsa-147601,piR-hsa-158717,piR-hsa-781720	piR-hsa-concat-000403
piR-hsa-161176,piR-hsa-168022,piR-hsa-724965,piR-hsa-749127,piR-hsa-752797,piR-hsa-770232,piR-hsa-777332	piR-hsa-concat-000404
piR-hsa-2852864,piR-hsa-2856308	piR-hsa-concat-002815
piR-hsa-2844746,piR-hsa-2852354	piR-hsa-concat-002816
piR-hsa-770400,piR-hsa-781003	piR-hsa-concat-002817
piR-hsa-775503,piR-hsa-786601	piR-hsa-concat-002818
piR-hsa-729394,piR-hsa-784386	piR-hsa-concat-002819
piR-hsa-1279735,piR-hsa-728655	piR-hsa-concat-002820
piR-hsa-722001,piR-hsa-759959	piR-hsa-concat-002821
piR-hsa-1300435,piR-hsa-728565	piR-hsa-concat-002822
piR-hsa-375774,piR-hsa-756531	piR-hsa-concat-002823
piR-hsa-378469,piR-hsa-737303,piR-hsa-753809,piR-hsa-770712	piR-hsa-concat-002137
piR-hsa-147022,piR-hsa-368867	piR-hsa-concat-002136
piR-hsa-161050,piR-hsa-161733,piR-hsa-163227,piR-hsa-166205,piR-hsa-167536,piR-hsa-726788,piR-hsa-738627,piR-hsa-761608	piR-hsa-concat-002135
piR-hsa-168044,piR-hsa-354500,piR-hsa-744960	piR-hsa-concat-002134
piR-hsa-168226,piR-hsa-168371,piR-hsa-354356	piR-hsa-concat-002133
piR-hsa-773189,piR-hsa-95914	piR-hsa-concat-000419
piR-hsa-53397,piR-hsa-749550	piR-hsa-concat-000420
piR-hsa-111606,piR-hsa-753665	piR-hsa-concat-000421
piR-hsa-244332,piR-hsa-766665	piR-hsa-concat-000423
piR-hsa-102572,piR-hsa-137567	piR-hsa-concat-000424
piR-hsa-165931,piR-hsa-65463	piR-hsa-concat-000425
piR-hsa-360452,piR-hsa-36532	piR-hsa-concat-000426
piR-hsa-756113,piR-hsa-79740	piR-hsa-concat-000427
piR-hsa-106734,piR-hsa-147048	piR-hsa-concat-000428
piR-hsa-217540,piR-hsa-336097,piR-hsa-743910	piR-hsa-concat-000429
piR-hsa-250128,piR-hsa-750517	piR-hsa-concat-000430
piR-hsa-277720,piR-hsa-342159	piR-hsa-concat-000431
piR-hsa-749809,piR-hsa-781643	piR-hsa-concat-000432
piR-hsa-149667,piR-hsa-740436,piR-hsa-753753	piR-hsa-concat-000433
piR-hsa-238027,piR-hsa-735342	piR-hsa-concat-000434
piR-hsa-140929,piR-hsa-244738	piR-hsa-concat-000435
piR-hsa-117743,piR-hsa-154535	piR-hsa-concat-000436
piR-hsa-116425,piR-hsa-140491	piR-hsa-concat-000437
piR-hsa-103401,piR-hsa-135077,piR-hsa-142845	piR-hsa-concat-000438
piR-hsa-2845621,piR-hsa-61644	piR-hsa-concat-000439
piR-hsa-738677,piR-hsa-780832	piR-hsa-concat-000440
piR-hsa-1265980,piR-hsa-2843805,piR-hsa-2845915	piR-hsa-concat-002729
piR-hsa-1251037,piR-hsa-772513	piR-hsa-concat-002728
piR-hsa-155384,piR-hsa-1880241	piR-hsa-concat-002730
piR-hsa-146824,piR-hsa-733548,piR-hsa-756633,piR-hsa-767113	piR-hsa-concat-002727
piR-hsa-721021,piR-hsa-761347,piR-hsa-770898	piR-hsa-concat-002726
piR-hsa-731935,piR-hsa-737193	piR-hsa-concat-002715
piR-hsa-2841512,piR-hsa-774221	piR-hsa-concat-002714
piR-hsa-118189,piR-hsa-727662	piR-hsa-concat-000448
piR-hsa-341680,piR-hsa-768099	piR-hsa-concat-000449
piR-hsa-370171,piR-hsa-775019,piR-hsa-783069	piR-hsa-concat-000927
piR-hsa-155165,piR-hsa-757869	piR-hsa-concat-000928
